days,num,cada_dia,cada_dos,cada_tres,cada_cuatro,cada_cinco,cada_seis,cada_siete
0,1,1,1,1,1,1,1,1
1,2,2,1.414213562,1.25992105,1.189207115,1.148698355,1.122462048,1.104089514
2,3,4,2,1.587401052,1.414213562,1.319507911,1.25992105,1.219013654
3,4,8,2.828427125,2,1.681792831,1.515716567,1.414213562,1.345900193
4,5,16,4,2.5198421,2,1.741101127,1.587401052,1.485994289
5,6,32,5.656854249,3.174802104,2.37841423,2,1.781797436,1.640670712
6,7,64,8,4,2.828427125,2.29739671,2,1.811447329
7,8,128,11.3137085,5.0396842,3.363585661,2.639015822,2.244924097,2
8,9,256,16,6.349604208,4,3.031433133,2.5198421,2.208179027
9,10,512,22.627417,8,4.75682846,3.482202253,2.828427125,2.438027308
10,11,1024,32,10.0793684,5.656854249,4,3.174802104,2.691800385
11,12,2048,45.254834,12.69920842,6.727171322,4.59479342,3.563594873,2.971988578
12,13,4096,64,16,8,5.278031643,4,3.281341424
13,14,8192,90.50966799,20.1587368,9.51365692,6.062866266,4.489848193,3.622894657
14,15,16384,128,25.39841683,11.3137085,6.964404506,5.0396842,4
15,16,32768,181.019336,32,13.45434264,8,5.656854249,4.416358055
16,17,65536,256,40.3174736,16,9.18958684,6.349604208,4.876054617
17,18,131072,362.038672,50.79683366,19.02731384,10.55606329,7.127189745,5.383600771
18,19,262144,512,64,22.627417,12.12573253,8,5.943977157
19,20,524288,724.0773439,80.63494719,26.90868529,13.92880901,8.979696386,6.562682848
20,21,1048576,1024,101.5936673,32,16,10.0793684,7.245789314
21,22,2097152,1448.154688,128,38.05462768,18.37917368,11.3137085,8
22,23,4194304,2048,161.2698944,45.254834,21.11212657,12.69920842,8.832716109
23,24,8388608,2896.309376,203.1873347,53.81737058,24.25146506,14.25437949,9.752109234
24,25,16777216,4096,256,64,27.85761803,16,10.76720154
25,26,33554432,5792.618751,322.5397888,76.10925536,32,17.95939277,11.88795431
26,27,67108864,8192,406.3746693,90.50966799,36.75834736,20.1587368,13.1253657
27,28,134217728,11585.2375,512,107.6347412,42.22425314,22.627417,14.49157863
28,29,268435456,16384,645.0795775,128,48.50293013,25.39841683,16
29,30,536870912,23170.47501,812.7493386,152.2185107,55.71523605,28.50875898,17.66543222
30,31,1073741824,32768,1024,181.019336,64,32,19.50421847
31,32,2147483648,46340.95001,1290.159155,215.2694823,73.51669472,35.91878555,21.53440308
32,33,4294967296,65536,1625.498677,256,84.44850629,40.3174736,23.77590863
33,34,8589934592,92681.90002,2048,304.4370214,97.00586026,45.254834,26.25073139
34,35,17179869184,131072,2580.31831,362.038672,111.4304721,50.79683366,28.98315726
35,36,34359738368,185363.8,3250.997354,430.5389646,128,57.01751796,32
36,37,68719476736,262144,4096,512,147.0333894,64,35.33086444
37,38,1.37439E+11,370727.6001,5160.63662,608.8740429,168.8970126,71.83757109,39.00843693
38,39,2.74878E+11,524288,6501.994709,724.0773439,194.0117205,80.63494719,43.06880616
39,40,5.49756E+11,741455.2002,8192,861.0779292,222.8609442,90.50966799,47.55181725
40,41,1.09951E+12,1048576,10321.27324,1024,256,101.5936673,52.50146278
41,42,2.19902E+12,1482910.4,13003.98942,1217.748086,294.0667789,114.0350359,57.96631451
42,43,4.39805E+12,2097152,16384,1448.154688,337.7940252,128,64
43,44,8.79609E+12,2965820.801,20642.54648,1722.155858,388.023441,143.6751422,70.66172888
44,45,1.75922E+13,4194304,26007.97884,2048,445.7218884,161.2698944,78.01687387
45,46,3.51844E+13,5931641.602,32768,2435.496172,512,181.019336,86.13761233
46,47,7.03687E+13,8388608,41285.09296,2896.309376,588.1335578,203.1873347,95.1036345
47,48,1.40737E+14,11863283.2,52015.95767,3444.311717,675.5880503,228.0700718,105.0029256
48,49,2.81475E+14,16777216,65536,4096,776.0468821,256,115.932629
49,50,5.6295E+14,23726566.41,82570.18593,4870.992343,891.4437768,287.3502844,128
50,51,1.1259E+15,33554432,104031.9153,5792.618751,1024,322.5397888,141.3234578
51,52,2.2518E+15,47453132.81,131072,6888.623434,1176.267116,362.038672,156.0337477
52,53,4.5036E+15,67108864,165140.3719,8192,1351.176101,406.3746693,172.2752247
53,54,9.0072E+15,94906265.62,208063.8307,9741.984686,1552.093764,456.1401437,190.207269
54,55,1.80144E+16,134217728,262144,11585.2375,1782.887554,512,210.0058511
55,56,3.60288E+16,189812531.2,330280.7437,13777.24687,2048,574.7005687,231.8652581
56,57,7.20576E+16,268435456,416127.6614,16384,2352.534231,645.0795775,256
57,58,1.44115E+17,379625062.5,524288,19483.96937,2702.352201,724.0773439,282.6469155
58,59,2.8823E+17,536870912,660561.4874,23170.47501,3104.187528,812.7493386,312.0674955
59,60,5.76461E+17,759250125,832255.3227,27554.49374,3565.775107,912.2802874,344.5504493
60,61,1.15292E+18,1073741824,1048576,32768,4096,1024,380.414538
61,62,2.30584E+18,1518500250,1321122.975,38967.93874,4705.068462,1149.401137,420.0117023
62,63,4.61169E+18,2147483648,1664510.645,46340.95001,5404.704403,1290.159155,463.7305161
63,64,9.22337E+18,3037000500,2097152,55108.98747,6208.375056,1448.154688,512
64,65,1.84467E+19,4294967296,2642245.95,65536,7131.550215,1625.498677,565.293831
65,66,3.68935E+19,6074001000,3329021.291,77935.87749,8192,1824.560575,624.134991
66,67,7.3787E+19,8589934592,4194304,92681.90002,9410.136924,2048,689.1008986
67,68,1.47574E+20,12148002000,5284491.899,110217.9749,10809.40881,2298.802275,760.829076
68,69,2.95148E+20,17179869184,6658042.582,131072,12416.75011,2580.31831,840.0234046
69,70,5.90296E+20,24296004000,8388608,155871.755,14263.10043,2896.309376,927.4610322
70,71,1.18059E+21,34359738368,10568983.8,185363.8,16384,3250.997354,1024
71,72,2.36118E+21,48592008000,13316085.16,220435.9499,18820.27385,3649.12115,1130.587662
72,73,4.72237E+21,68719476736,16777216,262144,21618.81761,4096,1248.269982
73,74,9.44473E+21,97184015999,21137967.6,311743.51,24833.50023,4597.60455,1378.201797
74,75,1.88895E+22,1.37439E+11,26632170.33,370727.6001,28526.20086,5160.63662,1521.658152
75,76,3.77789E+22,1.94368E+11,33554432,440871.8998,32768,5792.618751,1680.046809
76,77,7.55579E+22,2.74878E+11,42275935.19,524288,37640.5477,6501.994709,1854.922064
77,78,1.51116E+23,3.88736E+11,53264340.65,623487.0199,43237.63522,7298.242299,2048
78,79,3.02231E+23,5.49756E+11,67108864,741455.2002,49667.00045,8192,2261.175324
79,80,6.04463E+23,7.77472E+11,84551870.39,881743.7995,57052.40172,9195.2091,2496.539964
80,81,1.20893E+24,1.09951E+12,106528681.3,1048576,65536,10321.27324,2756.403595
81,82,2.41785E+24,1.55494E+12,134217728,1246974.04,75281.09539,11585.2375,3043.316304
82,83,4.8357E+24,2.19902E+12,169103740.8,1482910.4,86475.27044,13003.98942,3360.093618
83,84,9.67141E+24,3.10989E+12,213057362.6,1763487.599,99334.0009,14596.4846,3709.844129
84,85,1.93428E+25,4.39805E+12,268435456,2097152,114104.8034,16384,4096
85,86,3.86856E+25,6.21978E+12,338207481.6,2493948.08,131072,18390.4182,4522.350648
86,87,7.73713E+25,8.79609E+12,426114725.2,2965820.801,150562.1908,20642.54648,4993.079928
87,88,1.54743E+26,1.24396E+13,536870912,3526975.198,172950.5409,23170.47501,5512.807189
88,89,3.09485E+26,1.75922E+13,676414963.1,4194304,198668.0018,26007.97884,6086.632608
89,90,6.1897E+26,2.48791E+13,852229450.5,4987896.159,228209.6069,29192.9692,6720.187236
90,91,1.23794E+27,3.51844E+13,1073741824,5931641.602,262144,32768,7419.688258
91,92,2.47588E+27,4.97582E+13,1352829926,7053950.396,301124.3816,36780.8364,8192
92,93,4.95176E+27,7.03687E+13,1704458901,8388608,345901.0818,41285.09296,9044.701296
93,94,9.90352E+27,9.95164E+13,2147483648,9975792.319,397336.0036,46340.95001,9986.159855
94,95,1.9807E+28,1.40737E+14,2705659852,11863283.2,456419.2137,52015.95767,11025.61438
95,96,3.96141E+28,1.99033E+14,3408917802,14107900.79,524288,58385.93839,12173.26522
96,97,7.92282E+28,2.81475E+14,4294967296,16777216,602248.7631,65536,13440.37447
97,98,1.58456E+29,3.98066E+14,5411319705,19951584.64,691802.1635,73561.6728,14839.37652
98,99,3.16913E+29,5.6295E+14,6817835604,23726566.41,794672.0072,82570.18593,16384
99,100,6.33825E+29,7.96131E+14,8589934592,28215801.58,912838.4275,92681.90002,18089.40259
